"TIME","GEO","N_PERSON","Value"
"2010","United Kingdom","2 persons","33.4"
"2010","United Kingdom","3 persons","15.1"
"2010","United Kingdom","4 persons","14.0"
"2010","United Kingdom","5 persons","4.7"
"2010","United Kingdom","6 persons or more","1.9"
"2010","Iceland","1 person","31.1"
"2010","Iceland","2 persons","28.8"
"2010","Iceland","3 persons","17.0"
"2010","Iceland","4 persons","14.0"
"2010","Iceland","5 persons","7.2"
"2010","Iceland","6 persons or more","1.8"
"2010","Norway","1 person","41.3"
"2010","Norway","2 persons","31.6"
"2010","Norway","3 persons","10.5"
"2010","Norway","4 persons","11.1"
"2010","Norway","5 persons","4.4"
"2010","Norway","6 persons or more","1.2"
"2010","Switzerland","1 person","30.7"
"2010","Switzerland","2 persons","36.3"
"2010","Switzerland","3 persons","13.6"
"2010","Switzerland","4 persons","13.5"
"2010","Switzerland","5 persons","4.7"
"2010","Switzerland","6 persons or more","1.2"
"2010","Montenegro","1 person",":"
"2010","Montenegro","2 persons",":"
"2010","Montenegro","3 persons",":"
"2010","Montenegro","4 persons",":"
"2010","Montenegro","5 persons",":"
"2010","Montenegro","6 persons or more",":"
"2010","North Macedonia","1 person","9.6"
"2010","North Macedonia","2 persons","19.2"
"2010","North Macedonia","3 persons","17.9"
"2010","North Macedonia","4 persons","28.4"
"2010","North Macedonia","5 persons","13.0"
"2010","North Macedonia","6 persons or more","11.9"
"2010","Serbia","1 person",":"
"2010","Serbia","2 persons",":"
"2010","Serbia","3 persons",":"
"2010","Serbia","4 persons",":"
"2010","Serbia","5 persons",":"
"2010","Serbia","6 persons or more",":"
"2010","Turkey","1 person",":"
"2010","Turkey","2 persons",":"
"2010","Turkey","3 persons",":"
"2010","Turkey","4 persons",":"
"2010","Turkey","5 persons",":"
"2010","Turkey","6 persons or more",":"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","1 person","31.0"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","2 persons","30.7"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","3 persons","16.9"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","4 persons","14.8"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","5 persons","4.6"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","6 persons or more","2.1"
"2011","European Union - 27 countries (from 2020)","1 person","31.0"
"2011","European Union - 27 countries (from 2020)","2 persons","30.4"
"2011","European Union - 27 countries (from 2020)","3 persons","17.0"
"2011","European Union - 27 countries (from 2020)","4 persons","15.0"
"2011","European Union - 27 countries (from 2020)","5 persons","4.5"
"2011","European Union - 27 countries (from 2020)","6 persons or more","2.1"
"2011","European Union - 28 countries (2013-2020)","1 person","31.0"
"2011","European Union - 28 countries (2013-2020)","2 persons","30.7"
"2011","European Union - 28 countries (2013-2020)","3 persons","16.9"
"2011","European Union - 28 countries (2013-2020)","4 persons","14.8"
"2011","European Union - 28 countries (2013-2020)","5 persons","4.6"
"2011","European Union - 28 countries (2013-2020)","6 persons or more","2.1"
"2011","European Union - 27 countries (2007-2013)","1 person","31.1"
"2011","European Union - 27 countries (2007-2013)","2 persons","30.7"
"2011","European Union - 27 countries (2007-2013)","3 persons","16.9"
"2011","European Union - 27 countries (2007-2013)","4 persons","14.8"
"2011","European Union - 27 countries (2007-2013)","5 persons","4.5"
"2011","European Union - 27 countries (2007-2013)","6 persons or more","2.0"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","1 person","32.2"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","2 persons","31.5"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","3 persons","16.6"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","4 persons","14.5"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","5 persons","3.9"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","6 persons or more","1.4"
"2011","Euro area - 19 countries  (from 2015)","1 person","32.2"
"2011","Euro area - 19 countries  (from 2015)","2 persons","31.4"
"2011","Euro area - 19 countries  (from 2015)","3 persons","16.6"
"2011","Euro area - 19 countries  (from 2015)","4 persons","14.4"
"2011","Euro area - 19 countries  (from 2015)","5 persons","4.0"
"2011","Euro area - 19 countries  (from 2015)","6 persons or more","1.4"
"2011","Euro area - 18 countries (2014)","1 person","32.2"
"2011","Euro area - 18 countries (2014)","2 persons","31.4"
"2011","Euro area - 18 countries (2014)","3 persons","16.6"
"2011","Euro area - 18 countries (2014)","4 persons","14.4"
"2011","Euro area - 18 countries (2014)","5 persons","4.0"
"2011","Euro area - 18 countries (2014)","6 persons or more","1.4"
"2011","Belgium","1 person","34.8"
"2011","Belgium","2 persons","31.5"
"2011","Belgium","3 persons","14.9"
"2011","Belgium","4 persons","11.4"
"2011","Belgium","5 persons","5.2"
"2011","Belgium","6 persons or more","2.2"
"2011","Bulgaria","1 person","19.9"
"2011","Bulgaria","2 persons","26.8"
"2011","Bulgaria","3 persons","20.4"
"2011","Bulgaria","4 persons","19.2"
"2011","Bulgaria","5 persons","7.7"
"2011","Bulgaria","6 persons or more","6.1"
"2011","Czechia","1 person","23.7"
"2011","Czechia","2 persons","33.3"
"2011","Czechia","3 persons","20.0"
"2011","Czechia","4 persons","17.6"
"2011","Czechia","5 persons","3.9"
"2011","Czechia","6 persons or more","1.5"
"2011","Denmark","1 person","44.0"
"2011","Denmark","2 persons","30.7"
"2011","Denmark","3 persons","10.4"
"2011","Denmark","4 persons","10.6"
"2011","Denmark","5 persons","3.3"
"2011","Denmark","6 persons or more","1.0"
"2011","Germany (until 1990 former territory of the FRG)","1 person","40.0"
"2011","Germany (until 1990 former territory of the FRG)","2 persons","34.5"
"2011","Germany (until 1990 former territory of the FRG)","3 persons","12.7"
